,is_weekend,hour,hex_6,unique_drivers,util,cdr
1278,0,18,8611aa4c7ffffff,92,0.44763382467028706,0.6666666666666666
1279,0,18,8611aa4cfffffff,219,0.4406779661016949,1.0
1280,0,18,8611aa4d7ffffff,29,0.3195402298850575,1.0
1281,0,18,8611aa4dfffffff,130,0.45902828136330676,0.9411764705882353
1282,0,18,8611aa4e7ffffff,84,0.3618925831202046,1.0
1283,0,18,8611aa4efffffff,260,0.5239658568614577,0.9230769230769231
1284,0,18,8611aa56fffffff,18,0.23684210526315788,1.0
1285,0,18,8611aa607ffffff,273,0.5266442630820931,0.9230769230769231
1286,0,18,8611aa617ffffff,273,0.600909090909091,0.9761904761904762
1287,0,18,8611aa61fffffff,211,0.5042816365366318,0.9629629629629629
1288,0,18,8611aa627ffffff,230,0.5288978494623656,0.9411764705882353
1289,0,18,8611aa62fffffff,205,0.3701492537313433,1.0
1290,0,18,8611aa637ffffff,359,0.6407729468599034,0.7419354838709677
1291,0,18,8611aa687ffffff,258,0.4,1.0
1292,0,18,8611aa68fffffff,49,0.39299610894941633,1.0
1293,0,18,8611aa697ffffff,158,0.29443447037701975,1.0
1294,0,18,8611aa6a7ffffff,267,0.4498318385650224,0.8333333333333334
1295,0,18,8611aa6afffffff,235,0.4132911392405063,1.0
1296,0,18,8611aa6b7ffffff,161,0.4178532311062432,0.7368421052631579
1297,0,18,8611aa6dfffffff,34,0.39378238341968913,1.0
1298,0,18,8611aa707ffffff,216,0.5287279973430754,0.9655172413793104
1299,0,18,8611aa70fffffff,263,0.4841555047370141,0.9393939393939394
1300,0,18,8611aa717ffffff,366,0.6523053665910808,0.9130434782608695
1301,0,18,8611aa71fffffff,344,0.6416998671978752,0.9545454545454546
1302,0,18,8611aa727ffffff,249,0.42572658772874056,0.8947368421052632
1303,0,18,8611aa737ffffff,250,0.4472532814778804,1.0
1304,0,18,8611aa757ffffff,159,0.38433734939759034,1.0
1305,0,18,8611aa767ffffff,14,0.25,1.0
1306,0,18,8611aa787ffffff,376,0.6554878048780488,0.8852459016393442
1307,0,18,8611aa78fffffff,464,0.5835540069686411,0.92
1308,0,18,8611aa797ffffff,214,0.4801747311827957,0.7894736842105263
1309,0,18,8611aa79fffffff,208,0.4650537634408602,0.75
1310,0,18,8611aa7a7ffffff,354,0.659715455076983,0.9038461538461539
1311,0,18,8611aa7afffffff,557,0.7113655720639728,0.8368794326241135
1312,0,18,8611aa7b7ffffff,224,0.5651829871414441,0.9701492537313433
1313,0,19,861181b2fffffff,20,0.19463087248322147,1.0
1314,0,19,861181b47ffffff,106,0.44324324324324327,1.0
1315,0,19,861181b4fffffff,96,0.43366336633663366,1.0
1316,0,19,861181b67ffffff,164,0.37148463047743624,1.0
1317,0,19,861181b6fffffff,71,0.4089754445385267,0.8
1318,0,19,861181b77ffffff,60,0.48047538200339557,0.0
1319,0,19,86118cd27ffffff,4,0.1559633027522936,1.0
1320,0,19,8611aa09fffffff,30,0.42105263157894735,1.0
1321,0,19,8611aa197ffffff,12,0.23684210526315788,0.0
1322,0,19,8611aa447ffffff,121,0.5230496453900709,1.0
1323,0,19,8611aa44fffffff,93,0.5625,0.9333333333333333
1324,0,19,8611aa457ffffff,34,0.32954545454545453,1.0
1325,0,19,8611aa45fffffff,195,0.4877484974572353,1.0
1326,0,19,8611aa4c7ffffff,52,0.5262321144674086,1.0
1327,0,19,8611aa4cfffffff,137,0.374749498997996,0.8947368421052632
1328,0,19,8611aa4d7ffffff,18,0.4218009478672986,0.0
1329,0,19,8611aa4dfffffff,91,0.5039525691699605,0.8571428571428571
1330,0,19,8611aa4e7ffffff,61,0.2195845697329377,1.0
1331,0,19,8611aa4efffffff,168,0.44721906923950056,0.9827586206896551
1332,0,19,8611aa607ffffff,129,0.4763092269326683,1.0
1333,0,19,8611aa617ffffff,161,0.5058678196417542,1.0
1334,0,19,8611aa61fffffff,108,0.4769403824521935,1.0
1335,0,19,8611aa627ffffff,143,0.4573643410852713,0.9333333333333333
1336,0,19,8611aa637ffffff,199,0.54,0.9473684210526315
1337,0,19,8611aa687ffffff,130,0.3524590163934426,1.0
1338,0,19,8611aa68fffffff,27,0.2727272727272727,1.0
1339,0,19,8611aa697ffffff,79,0.3744493392070485,1.0
1340,0,19,8611aa6a7ffffff,161,0.41333959605448567,0.9285714285714286
1341,0,19,8611aa6afffffff,124,0.37962037962037964,0.75
1342,0,19,8611aa6b7ffffff,81,0.44208037825059104,0.7142857142857143
1343,0,19,8611aa707ffffff,126,0.4032451923076923,0.9090909090909091
1344,0,19,8611aa70fffffff,137,0.3298525798525799,0.8461538461538461
1345,0,19,8611aa717ffffff,241,0.6005239030779306,1.0
1346,0,19,8611aa71fffffff,206,0.5618125824901012,1.0
1347,0,19,8611aa727ffffff,135,0.5119926199261993,0.7142857142857143
1348,0,19,8611aa737ffffff,114,0.40043525571273125,1.0
1349,0,19,8611aa787ffffff,233,0.6203490286466908,0.7916666666666666
1350,0,19,8611aa78fffffff,291,0.516642891107941,0.875
1351,0,19,8611aa797ffffff,117,0.44142857142857145,0.6363636363636364
1352,0,19,8611aa79fffffff,130,0.49017341040462425,0.8333333333333334
1353,0,19,8611aa7a7ffffff,213,0.6288032454361054,1.0
1354,0,19,8611aa7afffffff,342,0.6613941769316909,0.9473684210526315
1355,0,19,8611aa7b7ffffff,134,0.40427886388786427,0.9411764705882353
1356,0,20,861181a6fffffff,28,0.2748091603053435,1.0
1357,0,20,861181b4fffffff,54,0.3650190114068441,1.0
1358,0,20,861181b67ffffff,91,0.32086614173228345,1.0
1359,0,20,861181b6fffffff,53,0.26507394766780434,0.6666666666666666
1360,0,20,861181b77ffffff,33,0.4612546125461255,1.0
1361,0,20,86118cd27ffffff,2,0.0,1.0
1362,0,20,8611aa40fffffff,9,0.01762114537444934,0.0
1363,0,20,8611aa44fffffff,41,0.4236983842010772,1.0
1364,0,20,8611aa457ffffff,17,0.16666666666666666,1.0
1365,0,20,8611aa45fffffff,100,0.4948371723590151,0.9090909090909091
1366,0,20,8611aa4c7ffffff,31,0.31130434782608696,1.0
1367,0,20,8611aa4cfffffff,75,0.35152284263959394,0.875
1368,0,20,8611aa4d7ffffff,11,0.1949685534591195,1.0
1369,0,20,8611aa4dfffffff,41,0.29876543209876544,1.0
1370,0,20,8611aa4efffffff,78,0.4776500638569604,1.0
1371,0,20,8611aa607ffffff,59,0.3939393939393939,0.6666666666666666
1372,0,20,8611aa617ffffff,72,0.5973333333333334,0.8333333333333334
1373,0,20,8611aa61fffffff,55,0.5187165775401069,0.8
1374,0,20,8611aa627ffffff,71,0.48372093023255813,1.0
1375,0,20,8611aa637ffffff,101,0.4784727863525589,0.9090909090909091
1376,0,20,8611aa6a7ffffff,104,0.34992570579494797,1.0
1377,0,20,8611aa6afffffff,54,0.38064516129032255,1.0
1378,0,20,8611aa6b7ffffff,54,0.18016528925619835,0.0
1379,0,20,8611aa707ffffff,74,0.4058697208303508,0.8
1380,0,20,8611aa70fffffff,83,0.5372790161414297,1.0
1381,0,20,8611aa717ffffff,128,0.5655509065550907,1.0
1382,0,20,8611aa71fffffff,99,0.6526232114467408,0.9230769230769231
1383,0,20,8611aa727ffffff,78,0.543778801843318,1.0
1384,0,20,8611aa72fffffff,66,0.2343987823439878,1.0
1385,0,20,8611aa737ffffff,61,0.3697478991596639,0.0
1386,0,20,8611aa787ffffff,131,0.5768545994065282,0.9285714285714286
1387,0,20,8611aa78fffffff,146,0.5185348631950574,0.75
1388,0,20,8611aa797ffffff,81,0.44339622641509435,0.3333333333333333
1389,0,20,8611aa79fffffff,68,0.26970227670753066,0.75
1390,0,20,8611aa7a7ffffff,127,0.5891425046267736,0.7692307692307693
1391,0,20,8611aa7afffffff,185,0.6714046822742475,0.8974358974358975
1392,0,20,8611aa7b7ffffff,80,0.37476923076923074,0.8
1393,0,21,861181b47ffffff,30,0.4382716049382716,0.0
1394,0,21,861181b6fffffff,27,0.030965391621129327,1.0
1395,0,21,861181b77ffffff,17,0.22857142857142856,1.0
1396,0,21,8611aa44fffffff,21,0.37091988130563797,1.0
1397,0,21,8611aa457ffffff,5,0.9,1.0
1398,0,21,8611aa45fffffff,60,0.40031152647975077,1.0
1399,0,21,8611aa4c7ffffff,21,0.22417153996101363,1.0
1400,0,21,8611aa4cfffffff,33,0.33640552995391704,1.0
1401,0,21,8611aa4dfffffff,25,0.279874213836478,1.0
1402,0,21,8611aa607ffffff,34,0.589041095890411,1.0
1403,0,21,8611aa617ffffff,38,0.511049723756906,0.75
1404,0,21,8611aa61fffffff,29,0.5545023696682464,1.0
1405,0,21,8611aa627ffffff,41,0.36507936507936506,1.0
1406,0,21,8611aa637ffffff,59,0.5699481865284974,0.8333333333333334
